id,condition,timeRange,location,average
988480,rainy,evening,New York,14
988481,snowy,afternoon,Berlin,16
988482,snowy,night,Tokyo,27
988483,stormy,night,London,24
988484,snowy,morning,Sydney,28
988485,rainy,evening,Tokyo,20
988486,rainy,morning,London,21
988487,cloudy,night,Tokyo,29
988488,snowy,night,Berlin,17
988489,snowy,morning,Berlin,10
988490,snowy,night,Sydney,18
988491,cloudy,afternoon,Berlin,24
988492,cloudy,afternoon,London,12
988493,windy,afternoon,Paris,29
988494,snowy,evening,Paris,10
988495,sunny,evening,Paris,21
988496,stormy,night,New York,19
988497,stormy,afternoon,Paris,11
988498,snowy,afternoon,Paris,10
988499,snowy,evening,London,23
988500,stormy,night,Paris,18
988501,cloudy,afternoon,Tokyo,23
988502,snowy,afternoon,Tokyo,11
988503,rainy,evening,New York,15
988504,stormy,afternoon,Berlin,13
988505,sunny,morning,Sydney,27
988506,snowy,afternoon,Tokyo,12
988507,sunny,night,Sydney,26
988508,stormy,evening,Sydney,24
988509,rainy,morning,Berlin,15
988510,stormy,afternoon,Paris,20
988511,stormy,afternoon,Sydney,26
988512,windy,afternoon,Paris,28
988513,sunny,night,Berlin,22
988514,snowy,night,New York,28
988515,cloudy,evening,Tokyo,28
988516,cloudy,night,Berlin,16
988517,rainy,morning,Paris,22
988518,snowy,morning,Tokyo,12
988519,rainy,evening,Sydney,17
988520,rainy,afternoon,Sydney,28
988521,sunny,morning,London,25
988522,sunny,night,London,13
988523,sunny,evening,Sydney,24
988524,cloudy,morning,Tokyo,16
988525,rainy,afternoon,New York,29
988526,cloudy,morning,New York,15
988527,stormy,afternoon,Berlin,11
988528,snowy,morning,London,20
988529,windy,night,Paris,13
988530,snowy,morning,New York,11
988531,snowy,night,Tokyo,15
988532,sunny,evening,Paris,21
988533,stormy,morning,Paris,28
988534,stormy,morning,Sydney,14
988535,rainy,night,Paris,22
988536,snowy,morning,Tokyo,14
988537,cloudy,evening,London,15
988538,sunny,afternoon,Tokyo,20
988539,sunny,morning,Berlin,24
988540,sunny,evening,Sydney,19
988541,windy,night,Tokyo,21
988542,cloudy,morning,Paris,13
988543,stormy,evening,Paris,17
988544,rainy,morning,New York,16
988545,snowy,night,New York,21
988546,snowy,night,London,28
988547,rainy,morning,Paris,16
988548,stormy,morning,Sydney,12
988549,sunny,afternoon,Tokyo,22
988550,sunny,evening,Berlin,28
988551,stormy,night,New York,28
988552,windy,night,Berlin,12
988553,cloudy,night,London,12
988554,cloudy,afternoon,Paris,25
988555,stormy,evening,Tokyo,23
988556,windy,morning,Paris,27
988557,stormy,afternoon,Sydney,12
988558,snowy,night,Paris,14
988559,rainy,night,New York,26
988560,windy,afternoon,Berlin,18
988561,windy,evening,New York,29
988562,snowy,evening,London,27
988563,sunny,morning,London,11
988564,rainy,evening,Paris,24
988565,snowy,night,Sydney,22
988566,rainy,afternoon,Paris,20
988567,windy,morning,London,29
988568,rainy,morning,Berlin,29
988569,sunny,evening,Sydney,19
988570,rainy,evening,Tokyo,11
988571,snowy,night,London,19
988572,cloudy,afternoon,New York,14
988573,cloudy,morning,Paris,15
988574,sunny,morning,Paris,10
988575,stormy,night,Tokyo,21
988576,stormy,evening,Sydney,16
988577,sunny,evening,London,25
988578,windy,night,London,28
988579,sunny,afternoon,Sydney,10
988580,cloudy,afternoon,Berlin,19
988581,stormy,night,New York,15
988582,stormy,evening,Paris,19
988583,stormy,evening,Berlin,18
988584,snowy,evening,Paris,27
988585,rainy,afternoon,New York,23
988586,cloudy,night,Berlin,13
988587,windy,night,Berlin,27
988588,cloudy,night,Sydney,29
988589,stormy,morning,Sydney,25
988590,cloudy,afternoon,Berlin,16
988591,stormy,morning,Berlin,11
988592,rainy,evening,London,14
988593,snowy,evening,Sydney,25
988594,rainy,morning,New York,10
988595,stormy,evening,Berlin,11
988596,snowy,morning,New York,17
988597,rainy,night,Berlin,22
988598,windy,night,Sydney,25
988599,sunny,afternoon,Paris,25
988600,rainy,night,Berlin,29
988601,sunny,night,Paris,18
988602,sunny,evening,London,25
988603,rainy,night,Paris,20
988604,snowy,afternoon,Berlin,22
988605,windy,afternoon,Sydney,12
988606,windy,afternoon,Paris,26
988607,snowy,afternoon,Berlin,10
988608,stormy,afternoon,New York,22
988609,snowy,afternoon,New York,19
988610,snowy,morning,Sydney,15
988611,rainy,night,Sydney,24
988612,rainy,morning,London,16
988613,cloudy,morning,Sydney,29
988614,rainy,evening,Berlin,15
988615,rainy,afternoon,Berlin,25
988616,cloudy,afternoon,Paris,25
988617,cloudy,morning,Tokyo,18
988618,snowy,afternoon,Tokyo,11
988619,rainy,afternoon,Sydney,15
988620,cloudy,evening,Berlin,27
988621,rainy,night,Sydney,27
988622,sunny,night,New York,25
988623,rainy,morning,Berlin,24
988624,stormy,night,Paris,24
988625,rainy,evening,Paris,21
988626,stormy,morning,Tokyo,26
988627,snowy,night,London,23
988628,snowy,afternoon,Paris,29
988629,snowy,evening,Tokyo,26
988630,stormy,morning,Sydney,25
988631,stormy,afternoon,London,21
988632,snowy,night,London,19
988633,snowy,evening,Paris,14
988634,cloudy,evening,Paris,14
988635,rainy,morning,New York,10
988636,cloudy,evening,New York,20
988637,cloudy,night,London,25
988638,snowy,morning,Paris,11
988639,stormy,evening,Berlin,13
988640,stormy,afternoon,Tokyo,27
988641,stormy,afternoon,New York,12
988642,cloudy,evening,Paris,25
988643,rainy,afternoon,Sydney,12
988644,sunny,night,Sydney,14
988645,snowy,night,Berlin,26
988646,cloudy,morning,London,10
988647,cloudy,morning,New York,16
988648,windy,night,Paris,25
988649,cloudy,evening,New York,29
988650,stormy,evening,Tokyo,15
988651,sunny,afternoon,New York,15
988652,rainy,evening,Tokyo,16
988653,windy,night,New York,25
988654,windy,evening,Berlin,13
988655,rainy,night,Tokyo,22
988656,rainy,evening,Tokyo,28
988657,cloudy,evening,Paris,25
988658,windy,evening,Paris,29
988659,cloudy,evening,Sydney,10
988660,cloudy,evening,Paris,28
988661,stormy,night,Tokyo,24
988662,snowy,night,Berlin,29
988663,cloudy,morning,Paris,17
988664,windy,afternoon,Paris,14
988665,cloudy,morning,Paris,18
988666,rainy,morning,Sydney,23
988667,stormy,afternoon,Berlin,25
988668,sunny,afternoon,Berlin,22
988669,cloudy,afternoon,Sydney,23
988670,windy,morning,Berlin,17
988671,sunny,night,New York,19
988672,windy,evening,New York,18
988673,windy,night,Berlin,17
988674,sunny,evening,New York,11
988675,rainy,afternoon,London,16
988676,stormy,evening,London,22
988677,windy,morning,Paris,25
988678,sunny,afternoon,Berlin,10
988679,rainy,afternoon,Tokyo,23
988680,sunny,morning,Tokyo,28
988681,snowy,night,London,12
988682,cloudy,night,London,12
988683,cloudy,evening,London,25
988684,windy,evening,Berlin,10
988685,snowy,morning,Tokyo,25
988686,snowy,evening,New York,29
988687,snowy,night,Paris,25
988688,sunny,morning,Paris,20
988689,rainy,night,New York,23
988690,sunny,morning,Tokyo,12
988691,stormy,night,New York,24
988692,rainy,afternoon,Paris,28
988693,windy,night,Sydney,27
988694,rainy,morning,Berlin,10
988695,rainy,morning,London,24
988696,sunny,morning,Paris,17
988697,windy,evening,Sydney,26
988698,rainy,morning,New York,29
988699,cloudy,night,New York,11
988700,stormy,afternoon,New York,16
988701,snowy,night,Paris,29
988702,cloudy,evening,Tokyo,11
988703,windy,evening,New York,19
988704,windy,morning,Sydney,28
988705,sunny,afternoon,Berlin,13
988706,windy,afternoon,Berlin,11
988707,stormy,evening,Berlin,26
988708,rainy,night,Berlin,15
988709,snowy,evening,Tokyo,15
988710,snowy,morning,Paris,28
988711,stormy,night,Sydney,29
988712,rainy,evening,London,10
988713,stormy,morning,London,26
988714,sunny,afternoon,Berlin,22
988715,sunny,afternoon,New York,10
988716,sunny,night,Berlin,11
988717,stormy,night,Tokyo,21
988718,stormy,morning,Tokyo,19
988719,snowy,morning,Paris,23
988720,stormy,night,London,15
988721,snowy,afternoon,Tokyo,17
988722,stormy,evening,New York,10
988723,sunny,evening,Sydney,28
988724,cloudy,afternoon,Paris,15
988725,stormy,morning,Sydney,14
988726,sunny,night,Berlin,19
988727,sunny,evening,Tokyo,16
988728,rainy,night,Sydney,29
988729,snowy,evening,New York,16
988730,cloudy,evening,Tokyo,27
988731,cloudy,afternoon,Paris,18
988732,snowy,evening,London,23
988733,cloudy,afternoon,Paris,14
988734,snowy,afternoon,New York,13
988735,stormy,night,Tokyo,22
988736,cloudy,morning,Paris,15
988737,sunny,night,Sydney,18
988738,rainy,morning,London,20
988739,windy,afternoon,Tokyo,11
988740,stormy,morning,Sydney,22
988741,snowy,afternoon,Paris,23
988742,sunny,morning,New York,23
988743,sunny,evening,Berlin,17
988744,cloudy,evening,Tokyo,12
988745,snowy,afternoon,Berlin,25
988746,snowy,afternoon,Berlin,20
988747,windy,night,Tokyo,26
988748,rainy,morning,New York,20
988749,rainy,night,Berlin,23
988750,sunny,night,Paris,23
988751,rainy,morning,New York,16
988752,rainy,evening,Paris,23
988753,cloudy,afternoon,Berlin,16
988754,rainy,evening,Tokyo,16
988755,windy,evening,Sydney,21
988756,stormy,morning,Berlin,15
988757,snowy,morning,Tokyo,13
988758,snowy,evening,Paris,19
988759,snowy,night,Paris,19
988760,rainy,morning,New York,23
988761,stormy,evening,Paris,26
988762,sunny,morning,London,12
988763,stormy,morning,London,24
988764,snowy,morning,New York,22
988765,sunny,morning,Paris,21
988766,windy,morning,London,15
988767,stormy,morning,New York,11
988768,sunny,morning,New York,17
988769,rainy,morning,New York,12
988770,cloudy,morning,Sydney,13
988771,stormy,morning,Berlin,22
988772,stormy,evening,Paris,24
988773,windy,night,Paris,12
988774,cloudy,night,London,24
988775,windy,afternoon,Sydney,16
988776,snowy,afternoon,New York,11
988777,snowy,afternoon,Paris,19
988778,snowy,afternoon,Berlin,10
988779,sunny,morning,New York,28
988780,windy,morning,New York,25
988781,sunny,morning,Berlin,15
988782,snowy,night,New York,10
988783,rainy,morning,Tokyo,11
988784,sunny,afternoon,Tokyo,20
988785,windy,morning,New York,22
988786,snowy,afternoon,Paris,11
988787,stormy,afternoon,Sydney,21
988788,rainy,evening,New York,29
988789,rainy,afternoon,Sydney,11
988790,windy,afternoon,Berlin,17
988791,rainy,morning,Sydney,17
988792,rainy,morning,Tokyo,28
988793,cloudy,night,Paris,22
988794,stormy,afternoon,London,29
988795,rainy,evening,New York,25
988796,windy,morning,London,21
988797,stormy,night,New York,19
988798,windy,evening,Berlin,19
988799,rainy,night,New York,25
988800,rainy,evening,London,21
988801,windy,evening,New York,16
988802,stormy,evening,New York,19
988803,cloudy,night,Sydney,11
988804,rainy,night,Berlin,14
988805,sunny,afternoon,Paris,20
988806,snowy,night,Paris,21
988807,cloudy,morning,New York,26
988808,windy,afternoon,New York,28
988809,snowy,night,Sydney,16
988810,snowy,morning,Tokyo,21
988811,sunny,evening,Tokyo,23
988812,snowy,afternoon,Berlin,29
988813,cloudy,morning,New York,27
988814,windy,morning,Sydney,20
988815,stormy,evening,London,21
988816,cloudy,evening,Tokyo,22
988817,sunny,morning,Paris,25
988818,snowy,morning,Berlin,16
988819,cloudy,morning,Berlin,25
988820,rainy,afternoon,London,25
988821,snowy,night,New York,29
988822,sunny,morning,London,21
988823,stormy,afternoon,Sydney,24
988824,snowy,evening,Tokyo,13
988825,stormy,evening,London,27
988826,windy,afternoon,London,17
988827,stormy,night,Tokyo,20
988828,sunny,evening,Tokyo,12
988829,sunny,night,Berlin,26
988830,rainy,afternoon,Paris,26
988831,stormy,morning,Sydney,19
988832,stormy,night,Tokyo,23
988833,sunny,morning,Paris,29
988834,rainy,night,New York,17
988835,cloudy,morning,Sydney,15
988836,windy,night,Paris,14
988837,windy,afternoon,New York,17
988838,windy,afternoon,Tokyo,21
988839,snowy,evening,Paris,23
988840,cloudy,evening,Sydney,12
988841,sunny,morning,London,13
988842,stormy,evening,Berlin,16
988843,cloudy,afternoon,New York,10
988844,windy,night,Sydney,18
988845,sunny,morning,Tokyo,12
988846,rainy,night,New York,25
988847,windy,night,London,28
988848,cloudy,evening,Berlin,16
988849,windy,night,New York,28
988850,rainy,afternoon,Sydney,17
988851,snowy,evening,Berlin,21
988852,cloudy,evening,London,13
988853,stormy,morning,Sydney,26
988854,cloudy,morning,New York,12
988855,sunny,morning,Berlin,13
988856,snowy,morning,New York,11
988857,windy,morning,Berlin,19
988858,sunny,morning,Tokyo,21
988859,rainy,night,Paris,21
988860,sunny,evening,London,11
988861,rainy,morning,Berlin,29
988862,rainy,evening,Tokyo,19
988863,sunny,morning,Sydney,12
988864,windy,night,Berlin,16
988865,snowy,morning,Sydney,29
988866,cloudy,night,London,16
988867,cloudy,afternoon,Berlin,25
988868,rainy,evening,Paris,10
988869,snowy,evening,Tokyo,17
988870,snowy,evening,Sydney,27
988871,sunny,morning,Berlin,22
988872,snowy,afternoon,Paris,11
988873,sunny,night,London,12
988874,stormy,morning,New York,19
988875,windy,morning,New York,27
988876,stormy,morning,Sydney,13
988877,rainy,night,Berlin,13
988878,sunny,afternoon,Berlin,28
988879,snowy,morning,Tokyo,22
988880,cloudy,night,New York,21
988881,rainy,evening,Paris,13
988882,stormy,afternoon,Berlin,22
988883,cloudy,evening,Paris,28
988884,cloudy,night,New York,27
988885,rainy,morning,Berlin,13
988886,windy,morning,Paris,17
988887,snowy,morning,London,27
988888,cloudy,morning,Berlin,11
988889,cloudy,night,Berlin,25
988890,cloudy,evening,New York,21
988891,sunny,morning,Sydney,20
988892,stormy,morning,Tokyo,19
988893,sunny,evening,Sydney,27
988894,snowy,night,Sydney,17
988895,stormy,evening,Tokyo,15
988896,rainy,night,Sydney,20
988897,sunny,afternoon,Tokyo,16
988898,snowy,morning,Sydney,20
988899,snowy,morning,London,15
988900,cloudy,evening,Berlin,18
988901,sunny,morning,London,19
988902,sunny,night,New York,27
988903,sunny,night,Sydney,18
988904,cloudy,evening,Tokyo,10
988905,windy,morning,London,25
988906,windy,evening,Sydney,16
988907,rainy,night,Tokyo,12
988908,windy,night,Paris,14
988909,cloudy,night,Paris,20
988910,windy,night,Paris,27
988911,rainy,morning,Sydney,23
988912,sunny,night,Paris,18
988913,windy,evening,Berlin,23
988914,windy,night,Berlin,20
988915,windy,morning,Paris,24
988916,cloudy,morning,Sydney,21
988917,stormy,afternoon,Berlin,12
988918,cloudy,morning,Tokyo,10
988919,rainy,morning,Sydney,28
988920,sunny,evening,Sydney,12
988921,sunny,afternoon,Tokyo,28
988922,cloudy,night,Sydney,10
988923,windy,morning,Sydney,17
988924,sunny,evening,London,17
988925,stormy,morning,Paris,26
988926,sunny,afternoon,Tokyo,28
988927,rainy,afternoon,Berlin,22
988928,stormy,morning,Paris,21
988929,windy,evening,New York,29
988930,snowy,evening,Berlin,18
988931,stormy,evening,New York,13
988932,stormy,evening,Paris,19
988933,windy,morning,New York,23
988934,windy,night,London,24
988935,windy,evening,New York,10
988936,stormy,night,Tokyo,17
988937,windy,morning,Tokyo,18
988938,snowy,evening,New York,22
988939,windy,night,Paris,27
988940,rainy,evening,Paris,27
988941,sunny,evening,London,17
988942,cloudy,afternoon,New York,22
988943,windy,morning,Tokyo,12
988944,sunny,night,New York,12
988945,cloudy,evening,Sydney,16
988946,windy,night,Berlin,15
988947,rainy,morning,Sydney,18
988948,snowy,morning,Paris,17
988949,snowy,night,Sydney,26
988950,snowy,night,London,24
988951,sunny,morning,Tokyo,12
988952,windy,afternoon,New York,25
988953,cloudy,night,Paris,15
988954,stormy,afternoon,Tokyo,21
988955,snowy,morning,Paris,25
988956,windy,night,London,14
988957,snowy,morning,Tokyo,13
988958,cloudy,morning,London,22
988959,stormy,afternoon,Berlin,24
988960,snowy,morning,Sydney,15
988961,stormy,evening,Tokyo,25
988962,stormy,afternoon,Tokyo,11
988963,stormy,evening,Berlin,12
988964,sunny,evening,Berlin,18
988965,stormy,afternoon,Berlin,21
988966,cloudy,morning,New York,13
988967,snowy,afternoon,Sydney,17
988968,snowy,night,Berlin,19
988969,sunny,morning,Sydney,10
988970,snowy,evening,Paris,27
988971,windy,morning,Paris,29
988972,stormy,afternoon,New York,16
988973,snowy,morning,Tokyo,28
988974,rainy,afternoon,Paris,17
988975,windy,night,Berlin,10
988976,sunny,morning,London,26
988977,stormy,afternoon,Paris,29
988978,sunny,evening,Tokyo,24
988979,windy,evening,Sydney,13
988980,snowy,morning,Tokyo,26
988981,rainy,evening,Tokyo,20
988982,windy,morning,Berlin,26
988983,stormy,night,Tokyo,16
988984,rainy,morning,London,27
988985,windy,morning,New York,28
988986,sunny,night,Sydney,12
988987,rainy,morning,London,25
988988,windy,night,Paris,29
988989,stormy,morning,London,29
988990,sunny,night,London,11
988991,stormy,afternoon,London,15
988992,stormy,morning,London,16
988993,rainy,evening,New York,27
988994,rainy,evening,New York,18
988995,stormy,morning,Sydney,16
988996,snowy,afternoon,Berlin,11
988997,snowy,morning,Sydney,21
988998,windy,evening,Sydney,24
988999,snowy,evening,Tokyo,15
989000,windy,afternoon,Tokyo,10
989001,snowy,evening,Sydney,15
989002,sunny,morning,Paris,19
989003,stormy,afternoon,Paris,20
989004,snowy,afternoon,Sydney,29
989005,cloudy,night,Sydney,14
989006,snowy,morning,Berlin,27
989007,windy,morning,London,28
989008,snowy,evening,New York,23
989009,rainy,afternoon,New York,19
989010,cloudy,night,New York,13
989011,cloudy,afternoon,Berlin,19
989012,sunny,night,Sydney,20
989013,snowy,evening,New York,18
989014,snowy,morning,New York,17
989015,windy,afternoon,Berlin,15
989016,sunny,evening,Tokyo,29
989017,stormy,evening,Berlin,21
989018,snowy,afternoon,Sydney,14
989019,windy,morning,Sydney,26
989020,snowy,night,Berlin,14
989021,rainy,evening,London,20
989022,cloudy,morning,London,15
989023,windy,night,Berlin,17
989024,windy,afternoon,Berlin,17
989025,rainy,night,Berlin,19
989026,rainy,afternoon,Paris,29
989027,rainy,evening,London,11
989028,rainy,morning,Tokyo,22
989029,stormy,morning,New York,19
989030,sunny,night,Paris,11
989031,stormy,evening,New York,23
989032,cloudy,evening,Tokyo,18
989033,cloudy,morning,Sydney,22
989034,snowy,morning,New York,28
989035,sunny,morning,Paris,11
989036,snowy,afternoon,Sydney,19
989037,cloudy,afternoon,Berlin,15
989038,rainy,morning,London,28
989039,stormy,evening,Tokyo,15
989040,cloudy,afternoon,Paris,27
989041,snowy,night,Sydney,28
989042,sunny,evening,Paris,10
989043,cloudy,morning,Tokyo,23
989044,stormy,afternoon,Berlin,17
989045,snowy,night,Sydney,26
989046,sunny,night,London,25
989047,sunny,night,New York,14
989048,snowy,night,Berlin,28
989049,snowy,evening,Paris,23
989050,cloudy,morning,New York,20
989051,rainy,evening,Berlin,19
989052,windy,afternoon,New York,21
989053,rainy,evening,New York,16
989054,sunny,afternoon,London,21
989055,windy,night,New York,19
989056,windy,night,London,24
989057,snowy,afternoon,Paris,27
989058,rainy,afternoon,Paris,16
989059,stormy,afternoon,Sydney,13
989060,windy,afternoon,Paris,22
989061,snowy,morning,Berlin,28
989062,snowy,morning,London,22
989063,windy,afternoon,Berlin,26
989064,windy,night,Tokyo,10
989065,rainy,night,Berlin,16
989066,rainy,afternoon,Tokyo,17
989067,rainy,night,Berlin,24
989068,windy,evening,Berlin,22
989069,sunny,morning,Tokyo,10
989070,stormy,evening,New York,27
989071,snowy,night,New York,10
989072,windy,morning,Sydney,22
989073,windy,evening,Paris,26
989074,rainy,afternoon,New York,19
989075,cloudy,evening,Sydney,22
989076,windy,afternoon,Tokyo,16
989077,cloudy,night,New York,27
989078,snowy,evening,London,26
989079,rainy,afternoon,London,20
989080,snowy,evening,Sydney,13
989081,sunny,evening,Paris,23
989082,cloudy,night,Paris,18
989083,sunny,night,New York,21
989084,sunny,night,Tokyo,18
989085,windy,night,Sydney,25
989086,stormy,morning,Paris,14
989087,stormy,night,New York,17
989088,rainy,afternoon,London,12
989089,snowy,morning,New York,29
989090,sunny,night,Paris,16
989091,sunny,afternoon,New York,27
989092,stormy,night,London,25
989093,cloudy,morning,Paris,27
989094,rainy,night,Tokyo,23
989095,rainy,night,London,24
989096,snowy,evening,Tokyo,21
989097,rainy,night,Paris,15
989098,rainy,night,Sydney,19
989099,rainy,afternoon,Berlin,23
989100,sunny,evening,Sydney,12
989101,rainy,evening,Sydney,21
989102,windy,morning,Berlin,25
989103,sunny,night,London,29
989104,stormy,evening,Paris,14
989105,snowy,night,Sydney,26
989106,rainy,night,Tokyo,14
989107,rainy,afternoon,Tokyo,28
989108,snowy,night,Tokyo,11
989109,sunny,morning,Berlin,15
989110,windy,afternoon,Sydney,18
989111,rainy,morning,New York,14
989112,sunny,night,Sydney,24
989113,stormy,night,Paris,18
989114,rainy,evening,Tokyo,22
989115,stormy,morning,New York,10
989116,stormy,evening,Berlin,22
989117,windy,morning,New York,29
989118,rainy,morning,Paris,26
989119,cloudy,morning,Paris,22
989120,sunny,morning,New York,15
989121,stormy,morning,Tokyo,28
989122,snowy,afternoon,Berlin,12
989123,stormy,night,Berlin,22
989124,stormy,morning,Berlin,15
989125,cloudy,evening,Tokyo,28
989126,rainy,evening,Sydney,17
989127,rainy,night,Berlin,12
989128,cloudy,night,Sydney,13
989129,stormy,afternoon,London,10
989130,cloudy,afternoon,Berlin,23
989131,sunny,night,New York,26
989132,cloudy,night,London,17
989133,rainy,morning,Berlin,17
989134,windy,afternoon,Tokyo,18
989135,sunny,morning,Sydney,22
989136,stormy,afternoon,Sydney,16
989137,sunny,evening,London,26
989138,sunny,evening,Tokyo,28
989139,cloudy,afternoon,New York,13
989140,stormy,night,Sydney,27
989141,windy,afternoon,London,13
989142,stormy,afternoon,Berlin,23
989143,stormy,morning,Paris,12
989144,sunny,evening,New York,28
989145,rainy,evening,Sydney,13
989146,sunny,evening,Sydney,27
989147,windy,afternoon,New York,23
989148,rainy,afternoon,Sydney,25
989149,stormy,morning,Sydney,19
989150,rainy,morning,New York,11
989151,rainy,morning,Tokyo,17
989152,cloudy,morning,Berlin,25
989153,windy,night,Paris,15
989154,stormy,evening,London,23
989155,snowy,afternoon,New York,15
989156,cloudy,evening,Tokyo,18
989157,windy,morning,Tokyo,10
989158,cloudy,evening,Paris,16
989159,cloudy,evening,New York,24
989160,snowy,afternoon,Tokyo,21
989161,sunny,afternoon,London,27
989162,sunny,afternoon,Tokyo,27
989163,stormy,morning,London,28
989164,sunny,morning,Berlin,17
989165,stormy,night,Sydney,28
989166,rainy,morning,New York,25
989167,rainy,night,London,23
989168,windy,afternoon,Berlin,13
989169,windy,morning,Berlin,10
989170,snowy,morning,Tokyo,26
989171,stormy,morning,Paris,15
989172,sunny,morning,London,21
989173,stormy,afternoon,London,16
989174,rainy,morning,Sydney,21
989175,stormy,night,Berlin,13
989176,sunny,night,Sydney,24
989177,cloudy,night,Berlin,15
989178,windy,night,Sydney,24
989179,stormy,night,London,15
989180,snowy,afternoon,New York,22
989181,rainy,evening,Tokyo,18
989182,sunny,night,London,21
989183,cloudy,evening,Tokyo,11
989184,rainy,evening,New York,22
989185,cloudy,morning,Sydney,21
989186,windy,morning,London,16
989187,rainy,night,Tokyo,24
989188,rainy,night,New York,11
989189,cloudy,afternoon,Tokyo,19
989190,stormy,evening,Tokyo,14
989191,stormy,morning,Berlin,19
989192,windy,night,New York,27
989193,sunny,afternoon,Berlin,16
989194,windy,morning,Sydney,13
989195,rainy,morning,London,22
989196,windy,evening,Berlin,16
989197,cloudy,night,Paris,29
989198,sunny,morning,Tokyo,22
989199,windy,afternoon,Paris,10
989200,stormy,evening,Paris,24
989201,snowy,evening,Berlin,11
989202,snowy,morning,Berlin,13
989203,rainy,afternoon,New York,14
989204,rainy,afternoon,New York,18
989205,windy,morning,Tokyo,12
989206,cloudy,night,New York,12
989207,cloudy,night,Berlin,18
989208,windy,evening,New York,10
989209,stormy,night,Sydney,18
989210,rainy,morning,Tokyo,20
989211,cloudy,evening,London,19
989212,windy,morning,Berlin,18
989213,rainy,evening,Tokyo,13
989214,sunny,night,Berlin,22
989215,windy,morning,Sydney,17
989216,snowy,morning,London,23
989217,stormy,night,New York,11
989218,snowy,evening,London,17
989219,stormy,afternoon,New York,27
989220,sunny,afternoon,London,19
989221,cloudy,morning,Paris,23
989222,rainy,afternoon,Sydney,11
989223,windy,afternoon,London,29
989224,rainy,night,Berlin,28
989225,stormy,night,Paris,17
989226,rainy,night,Berlin,14
989227,windy,morning,Tokyo,13
989228,stormy,afternoon,Berlin,26
989229,stormy,evening,Paris,18
989230,snowy,evening,Paris,17
989231,windy,night,New York,14
989232,sunny,afternoon,Sydney,11
989233,stormy,evening,Tokyo,20
989234,snowy,night,Tokyo,28
989235,stormy,morning,London,29
989236,rainy,night,New York,20
989237,windy,evening,Sydney,19
989238,rainy,night,Berlin,14
989239,sunny,night,London,27
989240,sunny,afternoon,London,27
989241,rainy,afternoon,Paris,15
